            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461112.923611111, A.D. 2026-Mar-13 10:10:00.0000, -1.476910107198644E+08,  1.676313712647610E+07,  7.255292666231134E+06, -3.446438911713851E+00, -2.696165487182170E+01, -1.162734183236781E+01,
2461112.930555556, A.D. 2026-Mar-13 10:20:00.0000, -1.476930776237797E+08,  1.674696039100463E+07,  7.248316409388620E+06, -3.443241158862717E+00, -2.696079668518918E+01, -1.162684765577847E+01,
2461112.937500000, A.D. 2026-Mar-13 10:30:00.0000, -1.476951426096787E+08,  1.673078417047108E+07,  7.241340449028336E+06, -3.440045524175987E+00, -2.695993841251533E+01, -1.162635355850806E+01,
2461112.944444444, A.D. 2026-Mar-13 10:40:00.0000, -1.476972056788323E+08,  1.671460846492629E+07,  7.234364785102263E+06, -3.436852007796356E+00, -2.695908005642447E+01, -1.162585954197554E+01,
2461112.951388889, A.D. 2026-Mar-13 10:50:00.0000, -1.476992668325117E+08,  1.669843327441953E+07,  7.227389417561534E+06, -3.433660609863629E+00, -2.695822161954290E+01, -1.162536560760078E+01,
2461112.958333333, A.D. 2026-Mar-13 11:00:00.0000, -1.477013260719879E+08,  1.668225859899848E+07,  7.220414346356426E+06, -3.430471330514708E+00, -2.695736310449898E+01, -1.162487175680465E+01,
2461112.965277778, A.D. 2026-Mar-13 11:10:00.0000, -1.477033833985321E+08,  1.666608443870924E+07,  7.213439571436368E+06, -3.427284169883584E+00, -2.695650451392304E+01, -1.162437799100898E+01,
2461112.972222222, A.D. 2026-Mar-13 11:20:00.0000, -1.477054388134155E+08,  1.664991079359635E+07,  7.206465092749931E+06, -3.424099128101330E+00, -2.695564585044741E+01, -1.162388431163654E+01,
2461112.979166667, A.D. 2026-Mar-13 11:30:00.0000, -1.477074923179096E+08,  1.663373766370275E+07,  7.199490910244835E+06, -3.420916205296086E+00, -2.695478711670647E+01, -1.162339072011112E+01,
2461112.986111111, A.D. 2026-Mar-13 11:40:00.0000, -1.477095439132857E+08,  1.661756504906983E+07,  7.192517023867943E+06, -3.417735401593054E+00, -2.695392831533656E+01, -1.162289721785743E+01,
2461112.993055556, A.D. 2026-Mar-13 11:50:00.0000, -1.477115936008154E+08,  1.660139294973735E+07,  7.185543433565266E+06, -3.414556717114488E+00, -2.695306944897610E+01, -1.162240380630116E+01,
2461113.000000000, A.D. 2026-Mar-13 12:00:00.0000, -1.477136413817701E+08,  1.658522136574353E+07,  7.178570139281957E+06, -3.411380151979684E+00, -2.695221052026548E+01, -1.162191048686899E+01,
2461113.006944444, A.D. 2026-Mar-13 12:10:00.0000, -1.477156872574216E+08,  1.656905029712497E+07,  7.171597140962314E+06, -3.408205706304964E+00, -2.695135153184710E+01, -1.162141726098854E+01,
2461113.013888889, A.D. 2026-Mar-13 12:20:00.0000, -1.477177312290416E+08,  1.655287974391672E+07,  7.164624438549776E+06, -3.405033380203683E+00, -2.695049248636543E+01, -1.162092413008842E+01,
2461113.020833333, A.D. 2026-Mar-13 12:30:00.0000, -1.477197732979018E+08,  1.653670970615222E+07,  7.157652031986925E+06, -3.401863173786201E+00, -2.694963338646692E+01, -1.162043109559820E+01,
2461113.027777778, A.D. 2026-Mar-13 12:40:00.0000, -1.477218134652741E+08,  1.652054018386332E+07,  7.150679921215489E+06, -3.398695087159883E+00, -2.694877423480007E+01, -1.161993815894843E+01,
2461113.034722222, A.D. 2026-Mar-13 12:50:00.0000, -1.477238517324304E+08,  1.650437117708028E+07,  7.143708106176333E+06, -3.395529120429090E+00, -2.694791503401538E+01, -1.161944532157061E+01,
2461113.041666667, A.D. 2026-Mar-13 13:00:00.0000, -1.477258881006426E+08,  1.648820268583179E+07,  7.136736586809463E+06, -3.392365273695163E+00, -2.694705578676537E+01, -1.161895258489726E+01,
2461113.048611111, A.D. 2026-Mar-13 13:10:00.0000, -1.477279225711828E+08,  1.647203471014492E+07,  7.129765363054028E+06, -3.389203547056421E+00, -2.694619649570465E+01, -1.161845995036181E+01,
2461113.055555556, A.D. 2026-Mar-13 13:20:00.0000, -1.477299551453231E+08,  1.645586725004517E+07,  7.122794434848314E+06, -3.386043940608145E+00, -2.694533716348979E+01, -1.161796741939872E+01,
2461113.062500000, A.D. 2026-Mar-13 13:30:00.0000, -1.477319858243356E+08,  1.643970030555644E+07,  7.115823802129748E+06, -3.382886454442571E+00, -2.694447779277944E+01, -1.161747499344338E+01,
2461113.069444444, A.D. 2026-Mar-13 13:40:00.0000, -1.477340146094925E+08,  1.642353387670100E+07,  7.108853464834893E+06, -3.379731088648879E+00, -2.694361838623422E+01, -1.161698267393217E+01,
2461113.076388889, A.D. 2026-Mar-13 13:50:00.0000, -1.477360415020661E+08,  1.640736796349959E+07,  7.101883422899454E+06, -3.376577843313186E+00, -2.694275894651688E+01, -1.161649046230247E+01,
2461113.083333333, A.D. 2026-Mar-13 14:00:00.0000, -1.477380665033286E+08,  1.639120256597129E+07,  7.094913676258267E+06, -3.373426718518533E+00, -2.694189947629212E+01, -1.161599835999258E+01,
2461113.090277778, A.D. 2026-Mar-13 14:10:00.0000, -1.477400896145524E+08,  1.637503768413361E+07,  7.087944224845310E+06, -3.370277714344876E+00, -2.694103997822672E+01, -1.161550636844183E+01,
2461113.097222222, A.D. 2026-Mar-13 14:20:00.0000, -1.477421108370100E+08,  1.635887331800245E+07,  7.080975068593697E+06, -3.367130830869076E+00, -2.694018045498949E+01, -1.161501448909049E+01,
2461113.104166667, A.D. 2026-Mar-13 14:30:00.0000, -1.477441301719736E+08,  1.634270946759212E+07,  7.074006207435674E+06, -3.363986068164894E+00, -2.693932090925127E+01, -1.161452272337983E+01,
2461113.111111111, A.D. 2026-Mar-13 14:40:00.0000, -1.477461476207159E+08,  1.632654613291531E+07,  7.067037641302625E+06, -3.360843426302966E+00, -2.693846134368497E+01, -1.161403107275207E+01,
2461113.118055556, A.D. 2026-Mar-13 14:50:00.0000, -1.477481631845094E+08,  1.631038331398313E+07,  7.060069370125066E+06, -3.357702905350814E+00, -2.693760176096552E+01, -1.161353953865043E+01,
